Timestamp,Strategy,Symbol,Side,Quantity,Price,OrderID
2026-03-19 09:51:53,IronFly,NIFTY2632423750CE,BUY,130,55.9,260319150449652
2026-03-19 09:51:53,IronFly,NIFTY2632422750PE,BUY,130,109.45,260319150449673
2026-03-19 09:51:53,IronFly,NIFTY2632423250CE,SELL,130,230.85,260319150449684
2026-03-19 09:51:53,IronFly,NIFTY2632423250PE,SELL,130,264.55,260319150449698
2026-03-19 10:05:11,ScalpingStrategy,NIFTY2632423250CE,BUY,195,235.9,260319150531003
2026-03-19 10:37:46,ScalpingStrategy,NIFTY2632423250CE,SELL,195,246.25,260319150699199
2026-03-19 10:55:10,MomentumBuy,NIFTY2632423300PE,BUY,260,255.2,260319150779268
2026-03-19 11:00:38,MomentumBuy,NIFTY2632423300PE,SELL,260,270.85,260319150802405
2026-03-19 11:05:11,MomentumBuy,NIFTY2632423250PE,BUY,260,248.1,260319150821319
2026-03-19 11:14:29,MomentumBuy,NIFTY2632423250PE,SELL,260,263.55,260319150855773
2026-03-19 11:15:12,ScalpingStrategy,NIFTY2632423200PE,BUY,195,245,260319150860782
2026-03-19 11:15:33,ScalpingStrategy,NIFTY2632423200PE,SELL,195,242.75,260319150862847
2026-03-19 11:20:12,ScalpingStrategy,NIFTY2632423200PE,BUY,195,246,260319150885751
2026-03-19 11:48:15,ScalpingStrategy,NIFTY2632423200PE,SELL,195,220.25,260319150983443
2026-03-19 12:05:11,ScalpingStrategy,NIFTY2632423250PE,BUY,195,258,260319151038363
2026-03-19 12:14:29,ScalpingStrategy,NIFTY2632423250PE,SELL,195,235.75,260319151073815
2026-03-19 12:20:10,MomentumBuy,NIFTY2632423250CE,BUY,260,235.75,260319151101874
2026-03-19 12:21:16,IronFly,NIFTY2632423250CE,BUY,130,225.1,260319151107489
2026-03-19 12:21:16,IronFly,NIFTY2632423250PE,BUY,130,242.4,260319151107505
2026-03-19 12:21:17,IronFly,NIFTY2632423750CE,SELL,130,52.15,260319151107520
2026-03-19 12:21:17,IronFly,NIFTY2632422750PE,SELL,130,92.6,260319151107529
2026-03-19 12:33:22,MomentumBuy,NIFTY2632423250CE,SELL,260,216.15,260319151152670
2026-03-19 13:35:11,ScalpingStrategy,NIFTY2632423200PE,BUY,195,261.8,260319151394345
2026-03-19 13:57:54,ScalpingStrategy,NIFTY2632423200PE,SELL,195,272.5,260319151486932
