Timestamp,Strategy,Symbol,Side,Quantity,Price,OrderID
2026-06-25 11:48:10,MomentumBuy,NIFTY26JUN24200CE,BUY,520,115,2070028761360801792
2026-06-25 11:56:21,MomentumBuy,NIFTY26JUN24200CE,SELL,520,123.65,2070030819396722688
2026-06-25 12:00:10,MomentumBuy,NIFTY26JUN24200CE,BUY,520,145.45,2070031781872050177
2026-06-25 12:00:51,MomentumBuy,NIFTY26JUN24200CE,SELL,520,154.65,2070031953272283136
2026-06-25 12:03:10,MomentumBuy,NIFTY26JUN24250CE,BUY,520,115.75,2070032537509470208
2026-06-25 12:09:20,MomentumBuy,NIFTY26JUN24250CE,SELL,520,123.7,2070034087095083009
2026-06-25 12:18:10,MomentumBuy,NIFTY26JUN24250PE,BUY,520,107,2070036310655016960
2026-06-25 12:26:56,MomentumBuy,NIFTY26JUN24250PE,SELL,520,114.85,2070038518347898880
2026-06-25 12:27:11,MomentumBuy,NIFTY26JUN24200PE,BUY,520,93.65,2070038577563082752
2026-06-25 12:29:41,MomentumBuy,NIFTY26JUN24200PE,SELL,520,101.45,2070039206930980864
